Date,Open,High,Low,Close,Adjusted_close,Volume
2021-07-15,0.92976502079496,0.94625174273345,0.8610053710605,0.87352088997458,0.87352088997458,305175924
2021-07-16,0.8780644896092,0.89676924235045,0.8123206918775,0.81566243612793,0.81566243612793,306959248
2021-07-17,0.81402085625076,0.81996564249994,0.78571577939887,0.80381714211977,0.80381714211977,286540985
2021-07-18,0.80273550446675,0.8557490904864,0.79130860198394,0.79741658414899,0.79741658414899,255705937
2021-07-19,0.79577137849061,0.79972911015622,0.73146843565104,0.73565738407472,0.73565738407472,257761120
2021-07-20,0.73347294992694,0.73836843340394,0.62658245580436,0.69124198869856,0.69124198869856,699326760
2021-07-21,0.69065438289477,0.93476370766886,0.67220962582501,0.89273001866685,0.89273001866685,1671084121
2021-07-22,0.88950386103846,0.92604938032653,0.85020712366537,0.88619017694359,0.88619017694359,1025963963
2021-07-23,0.88219721893977,0.95441527559111,0.86383368511623,0.94983027115492,0.94983027115492,823475655
2021-07-24,0.9480311449007,0.98386016615138,0.91378045073411,0.95254551168801,0.95254551168801,610553245
2021-07-25,0.94935106562763,0.96270252121445,0.89036115902521,0.93300749472366,0.93300749472366,459514306
2021-07-26,0.93991730726197,1.1304119871553,0.93680919640013,1.0185641382586,1.0185641382586,1703319034
2021-07-27,1.01791745494,1.0605062945451,0.94093653320458,1.0397421776797,1.0397421776797,1099529465
2021-07-28,1.0399624714719,1.0543959640454,0.99889520426466,1.0162254676514,1.0162254676514,767894445
2021-07-29,1.0171661416532,1.0368611518504,0.994085156504,1.0264010682346,1.0264010682346,336825962
2021-07-30,1.0273578295556,1.0679130959939,0.99885774356601,1.0556918930255,1.0556918930255,540896663
2021-07-31,1.0676661322892,1.0962795579175,1.0280403342974,1.0882593981839,1.0882593981839,500384376
2021-08-01,1.0839441115782,1.1324754434216,1.0470099230864,1.0551646509166,1.0551646509166,621656257
2021-08-02,1.0540180863056,1.0779202769037,1.0257463348034,1.0489117675298,1.0489117675298,446984660
2021-08-03,1.0487244983516,1.0579525081474,1.0091717779076,1.0228870175908,1.0228870175908,343629733
2021-08-04,1.0198832912515,1.0704734084868,1.0115518935723,1.0542610355268,1.0542610355268,351821265
2021-08-05,1.0537937681868,1.0741165846175,1.0172959979138,1.0654919195748,1.0654919195748,463896957
2021-08-06,1.0656338149207,1.0966978126168,1.0382146621687,1.0785035199526,1.0785035199526,430116980
2021-08-07,1.0805449674823,1.1921114548389,1.0739806672591,1.1684676572656,1.1684676572656,917691672
2021-08-08,1.1669877825077,1.1765156612927,1.0742394862224,1.0829523580769,1.0829523580769,579869087
2021-08-09,1.0814305869433,1.1553095151465,1.0429505892279,1.1256949509201,1.1256949509201,603463664
2021-08-10,1.1263297137177,1.1755931393877,1.112592760541,1.1548339769333,1.1548339769333,674412644
2021-08-11,1.1569613558973,1.4209353791307,1.1569613558973,1.3742683049867,1.3742683049867,2081785677
2021-08-12,1.3760568838075,1.473583077128,1.2674621480627,1.3257931597122,1.3257931597122,1662483111
2021-08-13,1.3229294739711,1.5097972700919,1.3219100735389,1.5097972700919,1.5097972700919,1422782568
2021-08-14,1.5104915469291,1.5104915469291,1.4143950585981,1.4403756689219,1.4403756689219,963325420
2021-08-15,1.4425979477879,1.4822350421504,1.3829558803843,1.4689339220152,1.4689339220152,790018071
2021-08-16,1.4672674177484,1.5437364162281,1.4228052035806,1.4228836588183,1.4228836588183,1147903515
2021-08-17,1.4247491582452,1.5278486342255,1.3475368564862,1.3494718475002,1.3494718475002,1055480537
2021-08-18,1.3512807915879,1.404160942582,1.2879390854256,1.3487887931532,1.3487887931532,989794435
2021-08-19,1.340701969568,1.4577660210845,1.307836201037,1.4577660210845,1.4577660210845,935633937
